Sr No.,Smoking Habit,Drinking Habit,Biking Habit,Walking Habit,Jogging Habit,Probability of Cancer
1,Heavy,Frequent,Low,Low,Low,0.8
2,Occasional,Moderate,High,High,High,0.2
3,None,None,High,High,High,0.1
4,Heavy,Frequent,Low,Low,Low,0.9
5,Moderate,Occasional,Medium,Medium,Medium,0.4
6,None,None,High,High,High,0.05
7,Heavy,Frequent,Low,Low,Low,0.75
8,Moderate,Occasional,Medium,Medium,Medium,0.3
9,None,None,High,High,High,0.02
10,Heavy,Frequent,Low,Low,Low,0.85
11,Moderate,Occasional,Medium,Medium,Medium,0.45
12,None,None,High,High,High,0.01
13,Heavy,Frequent,Low,Low,Low,0.9
14,Moderate,Occasional,Medium,Medium,Medium,0.35
15,None,None,High,High,High,0.03
16,Heavy,Frequent,Low,Low,Low,0.7
17,Moderate,Occasional,Medium,Medium,Medium,0.4
18,None,None,High,High,High,0.05
19,Heavy,Frequent,Low,Low,Low,0.8
20,Moderate,Occasional,Medium,Medium,Medium,0.3
21,None,None,High,High,High,0.02
22,Heavy,Frequent,Low,Low,Low,0.9
23,Moderate,Occasional,Medium,Medium,Medium,0.4
24,None,None,High,High,High,0.01
25,Heavy,Frequent,Low,Low,Low,0.75
26,Moderate,Occasional,Medium,Medium,Medium,0.35
27,None,None,High,High,High,0.03
28,Heavy,Frequent,Low,Low,Low,0.8
29,Moderate,Occasional,Medium,Medium,Medium,0.4
30,None,None,High,High,High,0.05
31,Heavy,Frequent,Low,Low,Low,0.9
32,Moderate,Occasional,Medium,Medium,Medium,0.3
33,None,None,High,High,High,0.02
34,Heavy,Frequent,Low,Low,Low,0.75
35,Moderate,Occasional,Medium,Medium,Medium,0.45
36,None,None,High,High,High,0.01
37,Heavy,Frequent,Low,Low,Low,0.8
38,Moderate,Occasional,Medium,Medium,Medium,0.35
39,None,None,High,High,High,0.03
40,Heavy,Frequent,Low,Low,Low,0.9
41,Moderate,Occasional,Medium,Medium,Medium,0.4
42,None,None,High,High,High,0.05
43,Heavy,Frequent,Low,Low,Low,0.7
44,Moderate,Occasional,Medium,Medium,Medium,0.3
45,None,None,High,High,High,0.02
46,Heavy,Frequent,Low,Low,Low,0.8
47,Moderate,Occasional,Medium,Medium,Medium,0.4
48,None,None,High,High,High,0.01
49,Heavy,Frequent,Low,Low,Low,0.75
50,Moderate,Occasional,Medium,Medium,Medium,0.35
